Modulbezeichnung:,engl. Modulbezeichnung:,Anbietende Fakultät:,Hinweise:,ggf. Modulniveau:,Kürzel:,ggf. Untertitel:,ggf. Lehrveranstaltungen:,Studiensemester:,Semesterlage:,Modulverantwortliche(r):,Dozent(in):,Sprache:,Zuordnung zum Curriculum:,Lehrform / SWS:,Arbeitsaufwand:,Kreditpunkte:,Voraussetzungen nach Prüfungsordnung:,Empfohlene Voraussetzungen:,Angestrebte Lernergebnisse:,Inhalt:,Studien-/ Prüfungsleistungen:,Medienformen:,Literatur:
Experimentelle Ansätze in der neurobiologischen Lernforschung,Experimental approaches for learning research in neurobiology,FIN,,,LiN,,,B.Sc. ab 5. Semester,Wintersemester,A. Brechmann,"A. Brechmann, M. Deliano, R. König, A. Schulz",deutsch,FIN: B.Sc. CV - Anwendungsfach - Medizintechnik FIN: B.Sc. INF - Studienprofil - Lernende Systeme / Biocomputing,Seminar,Präsenzzeiten: 1 SWS Vorlesung 30 h Projekt Vor- und Nachbearbeitung des Vorlesungsstoffs 120h = 44h Präsenzzeit + 76h selbstständige Arbeit,4,,Teilnahme an der Allgem. Psychologie II Vorlesung,"Lernziele & zu erwerbende Kompetenzen: Möglichkeiten und Grenzen der gängigen Methoden neurobiologischer Lernforschung an Menschen und Tieren. Grundlegende Kenntnisse über Reinforcementmodelle, Kategorie- und Sequenzlernen, Arbeitsgedächtnis.","Anhand aktueller Forschungsprojekte am Leibniz-Institut werden methodische Ansätze in der neurobiologischen Lernforschung mittels fMRI, MEG, EEG und Elektrophysiologie vermittelt. Es werden Untersuchungsparadigmen erarbeitet, in Pilotexperimenten erprobt und Einblicke in die Datenanalyse und –interpretation vermittelt.",Prüfung: Referat ,,siehe https://iwebdav.ifn-magdeburg.de/iwebdav/LearningAndMemorySeminar/
Fabrikplanung (Factory Operations),Fabrikplanung (Factory Operations),FMB,,,,,,M.Sc. ab 1. Semester,Wintersemester,"Prof. Kühnle, FMB-IAF","Prof. Kühnle, FMB-IAF",deutsch,FIN: M.Sc. DIGIENG - Methoden des Digital Engineering,Vorlesung; Übung,Präsenzzeiten: 2 SWS Vorlesung; 1 SWS Übung Selbstständiges Arbeiten: Begleitendes Selbststudium Prüfungsvorbereitung,4,Vgl. Angaben in der Einführungsvorlesung,,Beherrschung einer systemischen Betrachtungsweise industrieller FabrikabläufeErringung eines ganzheitlichen Verständnisses für Fabrikabläufe mit Hilfe eines Expikationsmodells für unterschiedliche Situationen und Planungsfälle Beurteilung der Methoden und Verfahren im Themengebiet „Factory Operations“ hinsichtlich Einsatzgebiete und Praxistauglichkeit,"Grundbegriffe zur Planung und Gestaltung industrieller ProzesseAuswahlverfahren grundlegender Technologien der verarbeitenden Industrie und deren Einsatzgebiete Analyse und Bewertung von Informationsprozessen in der industriellen Fertigung Fabrikabläufe aus wirtschaftlicher Sicht, Kostenfunktionen als Bewertungsinstrument Aufbau und Ablauforganisation industrieller Fertigung Verfahren der strategischen Unternehmensplanung und de-ren Auswirkung auf die Produktionsprogramme und Fabrikstrukturen",Übungsschein (interne Prüfungsvoraussetzung) Schriftliche Prüfung (Klausur),,
Fertigungsplanung,Manufactoring planning,FMB,,,,,,M.Sc. ab 1. Semester,Wintersemester,"Dr. Wengler, FMB-IFQ","Dr. Wengler, FMB-IFQ",deutsch,FIN: M.Sc. DIGIENG - Fachliche Spezialisierung,Vorlesung; Übung,"Präsenzzeiten: Vorlesung 2 SWS, Übung 1 SWS, selbständiges Arbeiten: Vor- und Nachbereiten der Lehrveranstaltungen, Literaturstudium",5,,"E   mpfohlen: Grundkenntnisse in der Fertigungslehre (Fertigungsverfahren, Messtechnik, Management)","Lernziele und zu erwerbende Kompetenzen Nach Absolvieren der Lehrveranstaltung ist der Student in der Lage, ausgehenden von der Rohteilauswahl über die Festlegung der technologischen Basen die Fertigungsschritte für maschinen-bautypische Bauteile zu konzipieren. Er hat Kenntnisse über den Ablauf von Montage- und Demontageverrichtungen und Einordnung von qualitätssichernden Maßnahmen in den Fertigungsablauf.","Grundlagen der FertigungsplanungRohteilvarianten Flächen am Werkstück, Technologische Basen, Spannmittel Teilebearbeitungsabläufe mit und ohne Wärmebehandlung Montage und Demontage von Bauteilen und Produkten Qualitätsmanagement und Prüfplanung",Prüfung: Klausur (90min) ,,
Filmseminar Informatik und Ethik,Film Seminar - Computer Science and Ethics,FIN,,,,,,M.Sc. ab 1. Semester,Wintersemester,Prof. Gunter Saake,Dr. Eike Schallehn,deutsch,FIN: M.Sc. CV - Bereich Anwendungen / Geisteswissenschaftliche Grundlagen FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Seminar,Präsenzzeiten: 2 SWS Seminar Selbstständiges Arbeiten: Vorstellung der Filme Aufarbeitung des Themas Vorbereitung einer Präsentation 90h (28h Präsenzzeit + 62h selbstständige Arbeit),"4 - 6 CP, nach Absprache",,Umfangreiche Kenntnisse von Grundlagen und Anwendungen von Informationssystemen,Lernziele & erworbene Kompetenzen: Selbstständige Erarbeitung eines anspruchsvollen Themas Mündliche Präsentation eines anspruchsvollen Themas Verständnis von Fragen der Ethik des Einsatzes von Informationstechnologien," Diskussion von Fragen der Ethik informationstechnischer Anwendungen, wie z.B. Einschränkung von Persönlichkeitsrechten Gesellschaftliche Effekte Ethische Fragen spezifischer Anwendungen (z.B. Militär, Gentechnikt, etc.) Sicherheit und Vertrauenswürdigkeit von Systemen am Beispiel vorgegebener uns selbst gewählter Spielfilme",K   umulative Prüfung: Präsentation und Diskussion,"Powerpoint, Tafel, Video, Filmvorführung",Eigenständige Recherche und bereitgestellte Literatur
Finite-Element-Methode,Finite-Element-Methode,FMB,,,FEM,,,M.Sc. ab 1. Semester,Wintersemester,Prof. U. Gabbert,Prof. U. Gabbert,deutsch,FIN: M.Sc. DIGIENG - Ingenieurgrundlagen für Informatiker,Vorlesung; Übung; Praktikum,"Präsenzzeiten: wöchentlich 4 h (Vorlesung, Übung, Praktikum); selbständig. Bearbeiten eines Projektes",5,"TM, Numerische Mechanik und FEM",,"In der Lehrveranstaltung werden die Studenten befähigt, die Finite-Element-Methode als Näherungsverfahren zur Lösung praxisrelevanter Aufgaben des Ingenieurwesens (Maschinenbau, Automobil-bau, Werkzeugmaschinenbau, Luft- und Raumfahrt) einzusetzen. Die Lehrveranstaltung konzentriert sich auf Problemen der Mechanik fester Körper unter Nutzung dreidimensionaler Modelle (Volumen- und Schalenmodelle). In den Vorlesungen werden die wichtigsten theoretische Grundlagen für das Verständnis der Modellbildung und die Bewertung der Ergebnisse (Fehleranalyse, Netzadaption) vermittelt. In den Übungen wird der Stoff an Hand praktischer Aufgabenstellungen vertieft, im Praktikum lösen die Studenten selbständig eine komplexere Aufgabenstellung, deren erfolgreiche Bearbeitung eine Voraussetzung für die Zulassung zur Prüfung ist."," Einführung in die Lehrveranstaltung (einschließlich Überblick über kommerzielle Softwaretools) Problemangepasste Modellbildung mit Volumen- und Schalenelementen (Schalen- vs. 3D Kontinumsmodelle) Finite Volumenelemente (Ansatzfunktionen, isoparametrisches Elementkonzept, Numerische Integration, Locking- und Hourglass-Phänomene, Superkonvergenz) Finite Schalenelemente (Ahmad-Elemente, Kirchhoff- und Mindlin-Elemente, Diskrete-Kirchhoff-Elemente, Patch-Test, Elementauswahl) Kopplung von Schalenelementen mit 3D-Volumenelementen (Zwangsbedingungen, schwache Form der Koppelung,) Strukturdynamische Berechnungen (Eigenwerte, Modellreduktion nach Gyan und Craig-Bampton, modale Verfahren, Zeitintegration, Frequenzbereichsverfahren, Model-Updating). Überblick über die FEM zur Lösung allgemeiner (gekoppelter) Feldprobleme (Wärmeleitung, Wärmespannungen). Zusammenfassung und Ausblick (Nichtlineare FEM, Optimierung) Selbständige Bearbeitung eines individuellen Projektes (Gruppenprojekt)",Mündliche Prüfung,,
Flow Visualization,Flow Visualization,FIN,,,FlowVis,,,M.Sc. ab 1. Semester,Sommersemester,Professur für Visual Computing,Prof. Dr. Holger Theisel,deutsch,FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Visual Computing - Wahlpflichtfächer FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeiten Vorlesung: 2h wöchentlich Übung: 2h wöchentlich Selbstständiges Arbeiten Hausaufgaben Programmieren von Beispielmodellen Selbststudium 180h (56h Präsenzzeit + 124h Selbststudium),6,,Computergraphik I,"Lernziele & erworbene Kompetenzen: Die Teilnehmer erwerben Kenntnisse der wichtigsten Verfahren der Strömungsvisualisierung Einige Verfahren werden in den Übungen selbständig implementiert und evaluiert Die Teilnehmer sind imstande, einfache Strömungsdaten selbständig unter Zuhilfenahme vorhandener oder selbstentworfener Tools visuell zu analysieren.",Mathematische Grundlagen von Vektor- und TensorfeldernGewinnung von Strömungsdaten Direkte Methoden zur Strömungsvisualisierung Texturbasierte Methoden zur Strömungsvisualisierung Geometriebasierte Methoden zur Strömungsvisualisierung Feature-basierte Methoden zur Strömungsvisualisierung Topologische Methoden zur Strömungsvisualisierung Visualisierung von Tensorfeldern,P   rüfungsvorleistung: s. Vorlesung Prüfung: mündlich,,
Fortgeschrittene Methoden der Medizinischen Bildanalyse,Advanced Methods in Medical Image Analysis,FIN,,,FMBA,,,M.Sc. ab 1. Semester,,"Professur für Praktische Informatik / Bildverarbeitung, Bildverstehen","Professur für Praktische Informatik / Bildverarbeitung, Bildverstehen",deutsch,FIN: M.Sc. CV - Bereich Computervisualistik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Applied Data Science FIN: M.Sc. DKE (alt) - Bereich Applications FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Projekt,Präsenzzeiten: wöchentliche Vorlesungen: 2 SWS 14-tägige Projekttreffen: 2 SWS Selbstständiges Arbeiten: Projektvorbereitung und -durchführung in kleinen Arbeitsgruppen Vorbereitung einer Projektpräsentation Vor- und Nachbereitung des Vorlesungsstoffs 180h (56h Präsenzzeit + 124h selbstständige Arbeit,6,,"Grundkenntnisse der Linearen Algebra, Grundlagen der Bildverarbeitung","Lernziele & zu erwerbende Kompetenzen: Kompetenz zur algorithmischen Lösung fortgeschrittener Themen der Bildanalyse im radiologisch-medizinischem Umfeld Fähigkeit zu Projektdurchführung in der Verarbeitung digitaler, radiologischer oder nuklearmedizinischer Bilder Fähigkeit zur Präsentation und Verteidigung eigener Arbeitsergebnisse",Fortgeschrittene Segmentierungsverfahren: Level Set Segmentierung Graph Cut Segmentierung Modelle von Form und Textur,P   rüfungsvorleistung ist erforderlich. Prüfung: mündlich,,http://wwwisg.cs.uni-magdeburg.de/bv/
Funktionale Programmierung - fortgeschrittene Konzepte und Anwendungen,Functional Programming - advanced concepts and applications,FIN,,,FP,,,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester,Wintersemester,Prof. Dr. Till Mossakowski,Prof. Dr. Till Mossakowski,englisch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DKE - Data Processing for Data Science FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Bachelor: 150 h = 4 SWS = 56 h Präsenzzeit + 94 h selbstständige Arbeit Master: 180 h = 4 SWS = 56 h Präsenzzeit + 94 h selbstständige Arbeit + 30h zusätzliche Aufgabe,"Bachelor: 5 CP Master: 6 CP (Berechnung wie oben) mit Zusatzaufgabe, die im Rahmen der Übung zum Semesterbeginn angekündigt wird",,Programmierparadigmen (PGP),"In-depth understanding of concepts of functional programming In-depth knowledge of Haskell insights into the role of functional concepts in other programming languages (e.g. Python, Java, Javascript) Insights into the role of functional concepts in applications","Functional programming in-the-small: lazy evaluation, algebraic data types, type variables and polymorphism, recursion, higher-order functions, cyclic data structures, profiling Functional programming in-the-large: Modules, Abstract data types, type classes, specifications of properties Real-world functional programming: actions, states, input/output, monads, automatic testing of functional programs with HUnit and Quickcheck, deep pointers with lenses Application examples: parser, web development",R   egelmäßige aktive Teilnahme an Vorlesungen und Übungen Bearbeitung der Übungsaufgaben und erfolgreiche Präsentation von Lösungen mündliche Prüfung,,"https://www.haskell.org/documentation/      Simon Thompson: Haskell. The craft of functional programming Bryan O'Sullivan, Don Stewart, John Goerzen: Real World Haskell  Programmierung"
Fuzzy-Systeme,Fuzzy Systems,FIN,,,FS,,,B.Sc. ab 4. Semester; M.Sc. ab 1. Semester,Sommersemester,FIN: Lehrstuhl Computational Intelligence,Prof. Dr. Rudolf Kruse,englisch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden FIN: M.Sc. CV - Bereich Informatik FIN: M.Sc. DIGIENG - Methoden der Informatik FIN: M.Sc. DIGIENG - Fachliche Spezialisierung FIN: M.Sc. DKE - Fundamentals of Data Science FIN: M.Sc. DKE (alt) - Bereich Fundamentals FIN: M.Sc. DKE (alt) - Bereich Models FIN: M.Sc. INF - Bereich Informatik FIN: M.Sc. INGINF - Bereich Informatik FIN: M.Sc. VC - Computer Science FIN: M.Sc. WIF - Bereich Informatik,Vorlesung; Übung,Präsenzzeit = 56 Stunden: 2 SWS Vorlesung 2 SWS Übung Selbstständige Arbeit = 124 Stunden: Vor- und Nachbearbeitung von Vorlesung und Übung Bearbeiten von Übungs- und Programmieraufgaben,5 (B.Sc.) bzw. 6 (M.Sc.),,"Kenntnisse einer höheren ProgrammierspracheAlgorithmen und Datenstrukturen Maschinelles Lernen, Data Mining Algebra, Optimierung ","Anwendung von adäquaten Modellierungstechniken zum Entwurf von Fuzzy-Systemen Anwendung der Methoden der Fuzzy-Datenanalyse, und des  Fuzzy-Regellernens Befähigung zur Entwicklung von Fuzzy-Systemen","Einführung in die Fuzzy-Mengenlehre, in die Fuzzy-Logik und Fuzzy-ArithmetikAnwendungen der Regelungstechnik, dem approximativen Schließen und der Datenanalyse","s   chriftliche Prüfung (Klausur) im Umfang von 120 Minuten, benötigte Vorleistungen: - Bearbeitung von mindestens zwei Drittel aller Übungsaufgaben im Semester - Erfolgreiche Präsentation von zwei Übungsaufgaben Schein: - Bearbeitung von mindestens zwei Drittel aller Übungsaufgaben im Semester - Erfolgreiche Präsentation von zwei Übungsaufgaben - Rechtzeitige Einsendung von zwei Programmieraufgaben - Erfolgreiche Teilnahme am mündlichen Kolloquium Unabhängig von der Art der Studien-/Prüfungsleistung wird eine  regelmäßige und aktive Teilnahme an Vorlesung und Übung vorausgesetzt.",,"Computational Intelligence A Methodological Introduction Kruse, R., Borgelt, C., Braune, C., Mostaghim, S., Steinbrecher, M."
Game Design – Grundlagen,Game Design – Foundations,FIN,,,GDG,,,B.Sc. ab 1. Semester,Sommersemester,"Enrico Gebert, Prof. Dr. Holger Theisel","Enrico Gebert, Prof. Dr. Holger Theisel",deutsch,FIN: B.Sc. CV - WPF Informatik FIN: B.Sc. CV - Anwendungsfach - Computerspiele FIN: B.Sc. INF - WPF Informatik FIN: B.Sc. INF - Studienprofil - Computer Games FIN: B.Sc. INGINF - WPF Informatik FIN: B.Sc. WIF - WPF Gestalten & Anwenden,Vorlesung; Übung,150 Std.: 2 Std. Vorl. + 2 Std. Prakt. = 56 Std. + 94 Std. Selbststudium und praktische Arbeit,5,,Einführung in Digitale Spiele,"Die Studierenden sollen in der Lage sein Ideen für Spiele zu Konzepten weiterzuentwickeln. Sie kennen die wichtigsten Bestandteile eines Spiels und wissen, wie sich Änderungen an den Komponenten auf das Spiel auswirken. Sie erlernen Methoden und Techniken zur Analyse und Verbesserung ihrer Spielkonzepte sowie Techniken zur Unterstützung bei Design Entscheidungen. Die Studierenden erlangen grundlegendes Wissen in den Bereichen des Welt-, Charakter- und Rätseldesigns und sind in der Lage dieses Wissen Praktisch umzusetzen. Sie beherrschen Techniken zur Dokumentation und Kommunikation von Ideen und Konzepten für verschiedene Zielgruppen und sind in der Lage die Beziehungen von Spiel, Designer, Spieler und Gesellschaft zu verstehen.","Game Design: Definitionen; Aufgaben eines Game DesignersDie Struktur von Spielen: Komponenten eines Spiels Die Struktur von Spielen: Thema, Vision, PoV und Genre Game Design: Weltdesign Game Design: Charakterdesign Game Design: Setting, Hintergrundgeschichte und Handlung Game Design: Rätsel, Aufgaben und Hindernisse Game Design: Balancing und Testing Das Spiel und der Game Designer Das Spiel und der Spieler Dokumentationstechniken Kommunikation; der Designer und das Team",V   orleistungen: Bearbeitung von Übungsaufgaben und deren Präsentation Prüfung: Klausur 120 Min. Schein: s. Vorlesung,,"David Perry, Rusel DeMaria: David Perry on Game Design: A Brainstorming Toolbox. Cengage Learning , 2009Raph Koster: A Theory of Fun. Paraglyph Press, 2005 Jesse Schell: The Art of Game Design: A Book of Lenses. CRC Press, 2008 Tracy Fullerton: Game Design Workshop: A Playcentric Approach to Creating Innovative Games. CRC Press, 2008"
Game Development Project,Game Development Project,FIN,,,,,,B.Sc. ab 6. Semester,,Prof. Dr.-Ing. habil Stefan Schlechtweg,Prof. Dr.-Ing. habil Stefan Schlechtweg,deutsch,FIN: B.Sc. CV - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. INGINF - Schlüssel- und Methodenkompetenzen - FIN SMK FIN: B.Sc. WIF - WPF Gestalten & Anwenden - FIN SMK,Vorlesung,5 CP = 150h (10h Präsenszeit + 140h selbstständige Arbeit),5 CP,,Einführung in Digitale Spiele  Module aus der Profillinie „Computer Games“,Lernziele & erworbene Kompetenzen: Fortgeschrittene methodische Kompetenzen auf dem Gebiet der Informatik und ihre Anwendungen und/oder fortgeschrittene persönliche oder soziale Kompetenzen auf der Basis einer Fachveranstaltung.   Die Studierenden können mit Unterstützung eines Mentors ein Computerspiel von der Idee bis zur Realisierung umsetzen. Dabei nutzen sie angemessene Werkzeuge und Methoden sowohl für die Entwicklung als auch für Projektmanagement und Dokumentation.,"Ideenpräsentation (Pitch)Game DesignUmsetzung des Spiels in einer EngineManagement und Dokumentation eines Spieleprojektes (Projektplanung, Game Design Document, Zeitmanagement)Abschlusspräsentation",Wissenschaftliches Projekt,,"Fullerton, Tracy (2008). Game Design Workshop. Burlington: Morgan KaufmannPerry, David und Rusel DeMaria (2009). David Perry on Game Design: A Brainstorming Toolbox.Boston: Course TechnologySchell, Jesse (2010). The Art of Game Design. A Book of Lenses. Burlington: Morgan KaufmannProjektbezogene Literatur abhängig von den verwendeten Werkzeugen"
